No,Name,Weight,Calorie,Protein ,Carbohydrates ,Sugar,Fat ,Saturated ,Fiber,Sodium,Source,Country,Original_Portion
3886,Tortellini a la Carbonara,100,86.28668,1.91398,1.45126,0.02629,8.14492,4.1487,0.04207,0.080975918,allrecipes,US,4
3887,Thyme Pepper Burgers,100,26.53825,2.20991,0.99398,0.26056,1.48614,0.57902,0.12545,0.077202192,allrecipes,US,4
3888,Thai Style Shrimp,100,26.10895,1.88816,0.74081,0.27103,1.81588,1.09314,0.18972,0.045171199,allrecipes,US,4
3889,Chicken Alfredo with Fettuccini Noodles,100,37.45982,1.42968,1.72891,0.08866,2.80395,1.7363,0.07019,0.031401234,allrecipes,US,8
3890,Spinach Lasagna I,100,11.05919,0.84848,1.02186,0.25218,0.46233,0.18914,0.18126,0.034412195,allrecipes,US,8
3891,Apricot Ginger Game Hens,100,23.58938,1.62008,1.14558,0.68463,1.20658,0.33215,0.02034,0.127436892,allrecipes,US,4
3892,Japanese Style Deep Fried Shrimp,100,37.79879,1.69795,3.2219,0.024,2.19593,0.34199,0.09,0.045598541,allrecipes,US,4
3893,Ultimate Turkey Pot Pie,100,20.7832,0.72335,1.84544,0.08821,1.12914,0.68101,0.11644,0.014467082,allrecipes,US,10
3894,Homestyle Turkey,,,,,,,,,0,allrecipes,US,
3895,Ham and Asparagus Fettuccine,100,52.43685,1.45349,3.12952,0.17386,3.88756,2.26021,0.18082,0.05494047,allrecipes,US,6
3896,Mean Mr. Mustard Steak,100,32.41548,2.22493,0.76101,0.09876,2.19589,0.95852,0.05809,0.211455792,allrecipes,US,4
3897,Terri's Veal Marsala,100,44.4652,2.32656,1.9942,0.22457,2.64995,1.03303,0.0539,0.021558887,allrecipes,US,4
3898,Beef and Noodle Casserole,100,47.18774,2.79326,3.51533,0.80441,2.41323,1.21611,0.12668,0.097542437,allrecipes,US,4
3899,Ultimate Steak Sandwich,100,58.81369,4.08411,1.71669,0.18592,3.89819,1.23329,0.10536,0.064453355,allrecipes,US,4
3900,Peanut Noodles,100,80.35424,2.78693,9.91696,1.16004,3.50842,0.63661,0.89125,0.190982783,allrecipes,US,3
3901,Ground Beef Marsala Sauce,100,36.06351,2.1329,2.1226,0.41215,1.39102,0.5461,0.05152,0.025759652,allrecipes,US,4
3902,Eggplant Red Gravy with Anchovies,100,15.45176,0.68906,2.23424,0.25579,0.48548,0.09396,0.29755,0.0334092,allrecipes,US,8
